name,addr,city,phone,type,class
"arnie morton's of chicago","435 s. la cienega blv.","los angeles","310/246-1501","american",0
"arnie morton's of chicago","435 s. la cienega blvd.","los angeles","310-246-1501","steakhouses",0
"art's delicatessen","12224 ventura blvd.","studio city","818/762-1221","american",1
"art's deli","12224 ventura blvd.","studio city","818-762-1221","delis",1
"hotel bel-air","701 stone canyon rd.","bel air","310/472-1211","californian",2
"bel-air hotel","701 stone canyon rd.","bel air","310-472-1211","californian",2
"cafe bizou","14016 ventura blvd.","sherman oaks","818/788-3536","french",3
"cafe bizou","14016 ventura blvd.","sherman oaks","818-788-3536","french bistro",3
"campanile","624 s. la brea ave.","los angeles","213/938-1447","american",4
"campanile","624 s. la brea ave.","los angeles","213-938-1447","californian",4
"chinois on main","2709 main st.","santa monica","310/392-9025","french",5
"chinois on main","2709 main st.","santa monica","310-392-9025","pacific new wave",5
"citrus","6703 melrose ave.","los angeles","213/857-0034","californian",6
"citrus","6703 melrose ave.","los angeles","213-857-0034","californian",6
"fenix","8358 sunset blvd. west","hollywood","213/848-6677","american",7
"fenix at the argyle","8358 sunset blvd.","w. hollywood","213-848-6677","french (new)",7
"granita","23725 w. malibu rd.","malibu","310/456-0488","californian",8
"granita","23725 w. malibu rd.","malibu","310-456-0488","californian",8
"grill on the alley","9560 dayton way","los angeles","310/276-0615","american",9
"grill  the","9560 dayton way","beverly hills","310-276-0615","american (traditional)",9
"restaurant katsu","1972 n. hillhurst ave.","los angeles","213/665-1891","asian",10
"katsu","1972 hillhurst ave.","los feliz","213-665-1891","japanese",10
"l'orangerie","903 n. la cienega blvd.","los angeles","310/652-9770","french",11
"l'orangerie","903 n. la cienega blvd.","w. hollywood","310-652-9770","french (classic)",11
"le chardonnay","8284 melrose ave.","los angeles","213/655-8880","french",12
"le chardonnay (los angeles)","8284 melrose ave.","los angeles","213-655-8880","french bistro",12
"locanda veneta","3rd st.","los angeles","310/274-1893","italian",13
"locanda veneta","8638 w. third st.","los angeles","310-274-1893","italian",13
"matsuhisa","129 n. la cienega blvd.","beverly hills","310/659-9639","asian",14
"matsuhisa","129 n. la cienega blvd.","beverly hills","310-659-9639","seafood",14
"the palm","9001 santa monica blvd.","los angeles","310/550-8811","american",15
"palm  the (los angeles)","9001 santa monica blvd.","w. hollywood","310-550-8811","steakhouses",15
"patina","5955 melrose ave.","los angeles","213/467-1108","californian",16
"patina","5955 melrose ave.","los angeles","213-467-1108","californian",16
"philippe's the original","1001 n. alameda st.","los angeles","213/628-3781","american",17
"philippe the original","1001 n. alameda st.","chinatown","213-628-3781","cafeterias",17
"pinot bistro","12969 ventura blvd.","los angeles","818/990-0500","french",18
"pinot bistro","12969 ventura blvd.","studio city","818-990-0500","french bistro",18
"rex il ristorante","617 s. olive st.","los angeles","213/627-2300","italian",19
"rex il ristorante","617 s. olive st.","los angeles","213-627-2300","nuova cucina italian",19
"spago","1114 horn ave.","los angeles","310/652-4025","californian",20
"spago (los angeles)","8795 sunset blvd.","w. hollywood","310-652-4025","californian",20
"valentino","3115 pico blvd.","santa monica","310/829-4313","italian",21
"valentino","3115 pico blvd.","santa monica","310-829-4313","italian",21
"yujean kang's gourmet chinese cuisine","67 n. raymond ave.","los angeles","818/585-0855","asian",22
"yujean kang's","67 n. raymond ave.","pasadena","818-585-0855","chinese",22
"21 club","21 w. 52nd st.","new york","212/582-7200","american",23
"21 club","21 w. 52nd st.","new york city","212-582-7200","american (new)",23
"aquavit","13 w. 54th st.","new york","212/307-7311","continental",24
"aquavit","13 w. 54th st.","new york city","212-307-7311","scandinavian",24
"aureole","34 e. 61st st.","new york","212/ 319-1660","american",25
"aureole","34 e. 61st st.","new york city","212-319-1660","american (new)",25
"cafe lalo","201 w. 83rd st.","new york","212/496-6031","coffee bar",26
"cafe lalo","201 w. 83rd st.","new york city","212-496-6031","coffeehouses",26
"cafe des artistes","1 w. 67th st.","new york","212/877-3500","continental",27
"cafe des artistes","1 w. 67th st.","new york city","212-877-3500","french (classic)",27
"carmine's","2450 broadway  between 90th and 91st sts.","new york","212/362-2200","italian",28
"carmine's","2450 broadway","new york city","212-362-2200","italian",28
"carnegie deli","854 7th ave.  between 54th and 55th sts.","new york","212/757-2245","delicatessen",29
"carnegie deli","854 seventh ave.","new york city","212-757-2245","delis",29
"chanterelle","2 harrison st.  near hudson st.","new york","212/966-6960","american",30
"chanterelle","2 harrison st.","new york city","212-966-6960","french (new)",30
"daniel","20 e. 76th st.","new york","212/288-0033","french",31
"daniel","20 e. 76th st.","new york city","212-288-0033","french (new)",31
"dawat","210 e. 58th st.","new york","212/355-7555","asian",32
"dawat","210 e. 58th st.","new york city","212-355-7555","indian",32
"felidia","243 e. 58th st.","new york","212/758-1479","italian",33
"felidia","243 e. 58th st.","new york city","212-758-1479","italian",33
"four seasons grill room","99 e. 52nd st.","new york","212/754-9494","american",34
"four seasons","99 e. 52nd st.","new york city","212-754-9494","american (new)",34
"gotham bar & grill","12 e. 12th st.","new york","212/620-4020","american",35
"gotham bar & grill","12 e. 12th st.","new york city","212-620-4020","american (new)",35
"gramercy tavern","42 e. 20th st.  between park ave. s and broadway","new york","212/477-0777","american",36
"gramercy tavern","42 e. 20th st.","new york city","212-477-0777","american (new)",36
"island spice","402 w. 44th st.","new york","212/765-1737","tel caribbean",37
"island spice","402 w. 44th st.","new york city","212-765-1737","caribbean",37
"jo jo","160 e. 64th st.","new york","212/223-5656","american",38
"jo jo","160 e. 64th st.","new york city","212-223-5656","french bistro",38
"la caravelle","33 w. 55th st.","new york","212/586-4252","french",39
"la caravelle","33 w. 55th st.","new york city","212-586-4252","french (classic)",39
"la cote basque","60 w. 55th st.  between 5th and 6th ave.","new york","212/688-6525","french",40
"la cote basque","60 w. 55th st.","new york city","212-688-6525","french (classic)",40
"le bernardin","155 w. 51st st.","new york","212/489-1515","french",41
"le bernardin","155 w. 51st st.","new york city","212-489-1515","seafood",41
"les celebrites","160 central park s","new york","212/484-5113","french",42
"les celebrites","155 w. 58th st.","new york city","212-484-5113","french (classic)",42
"lespinasse","2 e. 55th st.","new york","212/339-6719","american",43
"lespinasse (new york city)","2 e. 55th st.","new york city","212-339-6719","asian",43
"lutece","249 e. 50th st.","new york","212/752-2225","french",44
"lutece","249 e. 50th st.","new york city","212-752-2225","french (classic)",44
"manhattan ocean club","57 w. 58th st.","new york","212/ 371-7777","seafood",45
"manhattan ocean club","57 w. 58th st.","new york city","212-371-7777","seafood",45
"march","405 e. 58th st.","new york","212/754-6272","american",46
"march","405 e. 58th st.","new york city","212-754-6272","american (new)",46
"mesa grill","102 5th ave.  between 15th and 16th sts.","new york","212/807-7400","american",47
"mesa grill","102 fifth ave.","new york city","212-807-7400","southwestern",47
"mi cocina","57 jane st.  off hudson st.","new york","212/627-8273","mexican",48
"mi cocina","57 jane st.","new york city","212-627-8273","mexican",48
"montrachet","239 w. broadway  between walker and white sts.","new york","212/ 219-2777","french",49
"montrachet","239 w. broadway","new york city","212-219-2777","french bistro",49
"oceana","55 e. 54th st.","new york","212/759-5941","seafood",50
"oceana","55 e. 54th st.","new york city","212-759-5941","seafood",50
"park avenue cafe","100 e. 63rd st.","new york","212/644-1900","american",51
"park avenue cafe (new york city)","100 e. 63rd st.","new york city","212-644-1900","american (new)",51
"petrossian","182 w. 58th st.","new york","212/245-2214","french",52
"petrossian","182 w. 58th st.","new york city","212-245-2214","russian",52
"picholine","35 w. 64th st.","new york","212/724-8585","mediterranean",53
"picholine","35 w. 64th st.","new york city","212-724-8585","mediterranean",53
"pisces","95 ave. a at 6th st.","new york","212/260-6660","seafood",54
"pisces","95 ave. a","new york city","212-260-6660","seafood",54
